ID,Lat,Long,PC1,PC2,PC3
177,47.7467,22.395,0.0845955,0.0161375,-0.00256611
1074,50.145766,14.221421,0.0603126,0.0631424,0.00863978
1197,41.3616,1.6694,0.0228321,0.0287592,0.0161468
472,36.445,-6.21,0.0573554,0.0501472,0.00311043
629,65.6,-20.166667,-0.0174483,0.0100665,0.0130561
106,41.828485,12.546967,0.0388971,-0.0397705,-0.0198274
2382,35.08,25.83,0.0806725,-0.0259568,-0.0136691
389,40.25,44.1,0.0245657,-0.0698404,-0.0394182
265,39.81,8.84,0.0563006,-0.00870187,-0.0152386
1469,45.488546,16.369357,0.0345972,-0.0354663,-0.0169624
740,50.78083,5.46472,-0.02344,0.00894142,0.0164457
806,53.919396,-0.766635,-0.0221547,0.0129158,0.0160999
1541,63.58,27.03,-0.0400381,0.00548439,0.0217009
2140,42.322944,-2.41212,0.0238493,0.0336193,0.0152631
1590,53.235833,-1.736944,-0.0301361,0.00938189,0.0161853
1756,50.054385,14.363387,-0.0390061,0.00247071,0.00861154
2249,60.29,10.63,-0.0305071,0.0085552,0.0143459
1767,53.916717,-0.666972,-0.0280171,0.00971729,0.0174863
2242,48.412856,18.074594,-0.0199177,0.0127125,0.00828182
236,49.971784,35.392952,-0.0679714,-0.0448361,0.0138081
622,40.833333,43.916667,0.0049222,-0.0903441,-0.0488941
754,40.158534,15.157976,0.05942,-0.00894592,-0.0138808
1875,51.264052,-2.405024,-0.0266274,0.00843701,0.0169234
342,56.8792364,16.7212765,-0.0322168,0.00872146,0.0149067
11,43.48,11.12,0.0239576,-0.0158444,-0.00552821
589,42.566929,12.234101,0.0277755,-0.0168804,-0.00545157
2395,54.170989,-0.605739,-0.0258057,0.0115145,0.0173659
1333,43.7,6.99,0.0709806,0.0505169,0.00734424
630,46.28333333,17.85,-0.0260431,0.0133276,0.0185296
1158,40.626667,8.323056,0.0760652,0.0410439,0.0154506
1281,44.476,6.369,0.0121813,0.0156009,0.0112565
473,47.809892,20.889267,-0.000709375,0.0054282,0.0121964
1626,51.140932,-1.598337,-0.0164318,0.00982296,0.0129349
1285,53.18116111,51.2225,-0.0898016,-0.035215,0.00498953
2068,59.066726,28.804852,-0.0519465,-0.00450108,0.0124882
1358,43.312035,13.6511636,0.0321621,-0.0244203,-0.0117094
334,47.808164,18.218719,-0.0273297,0.0230536,-0.000105633
37,54.8953,55.87485,-0.0771348,-0.0686762,0.0344603
1150,47.222543,39.718732,-0.0660147,-0.0414089,0.00755561
2179,54.53,-2.16,-0.020761,0.00767864,0.0212494
2190,54.170989,-0.605739,-0.0253876,0.0145641,0.0157479
2119,55.5,10.33,-0.0256958,0.0126295,0.0191974
21,40.42,-3.7,0.0124086,0.00518993,0.00828557
682,40.80611,14.3475,0.0233747,-0.0629933,-0.0376657
1209,40.6517,-4.7015,0.0271212,-0.0136707,-0.00728776
1696,58.535,15.046,-0.123219,0.120167,-0.0659685
951,50.84,4.34,-0.0097051,0.00612305,0.0129985
1712,43.48,11.12,0.0295087,-0.0145656,-0.0120939
2013,47.808164,18.218719,-0.0234845,0.0211254,-0.000799726
623,48.186427,17.253727,-0.0503271,0.000848812,0.00558436
1904,45.4482,17.6388,0.0913504,0.0117131,0.00136127
829,46.6684,29.8001,-0.00647099,-0.0305796,-0.00380364
152,47.217632,39.711509,-0.0644267,-0.0411563,0.0133518
1540,48.78,9.18,0.0930408,0.00614521,-0.00391925
790,37.5353,12.2637,0.0498918,-0.0206595,-0.0142659
2014,40.775258,14.586258,0.0406281,0.0115325,0.00396134
1775,37.68,12.789,0.0714903,-0.000407353,-0.00228664
1414,54.520535,9.559718,-0.0140491,0.00408078,0.0116722
1732,50.054385,14.363387,-0.0356008,0.00657105,0.0173402
550,37.0337,-7.9534,0.0242601,-0.0122856,-0.00666307
2031,38.6433,-0.896,0.03541,0.0319418,0.0124458
1524,37.983,-1.1166,0.0234728,-0.00303491,0.00361532
136,55.80116,52.91033,-0.0859051,-0.0629589,0.0355245
1970,45.46666667,11.18333333,0.0448899,0.00867886,0.00504485
1243,49.992004,15.776861,-0.0429646,-0.00240626,0.0197498
603,50.40315,-5.112038,-0.0199383,0.00659717,0.0153802
1089,51.74585,-1.416236,-0.0224378,0.0074974,0.0143767
